"Game is disabled.","Le jeu est clos."
"%1$d day(s) and %2$d hour(s)","%1$d jour(s) et %2$d heure(s)"
"%1$d hour(s), %2$d minute(s) and %3$d second(s)","%1$d heure(s), %2$d minute(s) et %3$d seconde(s)"
"%1$d minute(s) and %2$d second(s)","%1$d minute(s) et %2$d seconde(s)"
"%1$d second(s)","%1$d seconde(s)"
"%1$d per minute","%1$d par minute"
"instantaneous","instantanné"
"Attack","Attaquer"
"Transport","Transporter"
"Station","Stationner"
"Settle","Coloniser"
"Recycle","Recycler"
"Destroy","Detruire"
"Missiles Launch","Envoi de missiles"
"Expedition","Expédition"
"Unknown","Inconnu"
"Planet is already destroyed.","La planète a déjà été détruite."
"Could not delete planet until fleets aten't retuned.","Impossible de détruire la planète tant que toutes les flottes ne sont pas revenues."
"You can't destroy your home planet.","Vous ne pouvez pas détruire votre planète mère."
"No such user.","Cet utilisateur n'existe pas."
"You were banned, please contact admin for more information.","Vous avez été banni. Veuillez contacter l'administrateur pour plus d'informations."
"Your username or credential is invalid, please check your input.","Votre nom d'utilisateur ou votre mot de passe sont invalides, veuillez vérifier votre saisie."
"My %s message!","My %s message!"
"An hostile fleet sent by %1$s, coming from %2$s, reaches your planet %3$d. It has been sent with the mission: %4$d","Une flotte hostile envoyée par %1$s et prevenant de %2$s atteint votre planète %3$d. Sa mission est : %4$d."
"Your hostile fleet, sent from %1$s, reaches %2$d\'s planet %3$d. It has been sent with the mission: %4$d","Votre flotte hostile envoyée depuis %1$s, atteint la planète de %2$d : %3$d. Sa mission est : %4$d"
"Your peaceful fleet, sent from %2$s, reaches the planet %3$d. It has been sent with the mission: %4$d","Votre flotte envoyée depuis %2$s, atteint la planète %3$d. Sa mission est : %4$d"
"A peaceful fleet sent by %1$s, coming from %2$s, reaches your planet %3$d. It has been sent with the mission: %4$d","Une flotte pacifique envoyée par %1$s et venant de %2$s atteint votre palnète %3$d. Sa mission est : %4$d"
"I want to destroy this planet","Je veux détruire cette planète."
"New name:","Nouveau nom:"
"You have 1 unread message.","Vous avez un message non lu."
"You have %1$d unread messages.","Vous avez %1$d messages non lus."
"Idle.","Inactif."
"Level %d","Niveau %d"
"Current count: %s","Disponible : %s"
"Build max (%s)","Construire le max (%s)"
"Build next level (%s)","Construire au niveau %s"
"Building time: %s","Temps de construction : %s"
"Lasts %s","Il reste %s"
"Cancel","Annuler"
"Work in progress","En cours..."
"Buildings","Bâtiments"
"Research Laboratory","Laboratoire de recherche"
"Shipyard","Chantier spatial"
"Build","Build"
"Metal","Métal"
"Cristal","Cristal"
"Deuterium","Deutérium"
"Energy","Energie"
"Messages","Messages"
"1 message.","Un message."
"You have no new message.","Vous n'avez pas de nouveau message."
"No message.","Pas de message."
"Username","Nom d'utilisateur"
"Password","Mot de passe"
"Remember me","Se souvenir de moi"
"Log in!","Connexion!"
"I have lost my password.","J'ai perdu mon mot de passe."
"Register","Créer un compte"
"Boards","Forum"
"Contact","Contact"
"Welcome on %s!","Bienvenue sur %s!"
